Time,X,Y,Original,Trend,Seasonal,Residual
201501,175783,2616755,4.12,0.628106357,3.235489007,0.256404636
201502,175783,2616755,-0.29,0.728520338,-0.82025623,-0.198264108
201503,175783,2616755,-2.82,0.831893754,-3.661801403,0.009907649
201504,175783,2616755,-2.99,0.938085081,-4.054251744,0.126166663
201505,175783,2616755,-5.2,1.047113722,-6.007335319,-0.239778404
201506,175783,2616755,-1.64,1.158590085,-2.623327028,-0.175263057
201507,175783,2616755,0.3,1.278888805,-0.976333525,-0.00255528
201508,175783,2616755,4.02,1.432563734,2.409526714,0.177909552
201509,175783,2616755,3.97,1.603071896,2.64748314,-0.280555036
201510,175783,2616755,5.81,1.797212507,3.976472793,0.036314699
201511,175783,2616755,3.77,2.004384725,1.824482174,-0.058866899
201512,175783,2616755,5.64,2.225394019,3.318491706,0.096114275
201601,175783,2616755,5.12,2.437627049,3.090110379,-0.407737428
201602,175783,2616755,2.75,2.632758016,-0.301935863,0.419177847
201603,175783,2616755,3.2,2.803922728,-3.336743257,3.732820529
201604,175783,2616755,4.22,2.90747904,-4.478027116,5.790548076
201605,175783,2616755,-2.54,2.987724032,-5.752629126,0.224905094
201606,175783,2616755,1.25,3.053964087,-2.080021501,0.276057414
201607,175783,2616755,4.34,3.030749785,-0.626743907,1.935994122
201608,175783,2616755,4.88,2.913459464,2.478853419,-0.512312884
201609,175783,2616755,6.13,2.607337807,3.002528069,0.520134124
201610,175783,2616755,7.67,2.270499793,2.853238146,2.546262061
201611,175783,2616755,5.25,2.026281072,1.525380961,1.698337967
201612,175783,2616755,7.22,1.796021502,2.909309025,2.514669473
201701,175783,2616755,3.52,1.528785453,2.977073026,-0.985858479
201702,175783,2616755,1.19,1.109987728,0.217360711,-0.137348439
201703,175783,2616755,-1.91,1.075547296,-2.998792042,0.013244746
201704,175783,2616755,-4.03,1.272544373,-4.896357382,-0.406186991
201705,175783,2616755,-3.67,1.419942828,-5.53714688,0.447204052
201706,175783,2616755,-3.86,1.54859669,-1.574878589,-3.833718101
201707,175783,2616755,3.62,1.639226981,-0.264375688,2.245148707
201708,175783,2616755,4.56,1.704042878,2.556989863,0.298967259
201709,175783,2616755,5.11,1.759173068,3.359097768,-0.008270836
201710,175783,2616755,0.52,1.73706014,1.751952377,-2.969012517
201711,175783,2616755,3.06,1.652103423,1.250576431,0.157320145
201712,175783,2616755,3.79,1.546770309,2.580820488,-0.337590797
201801,175783,2616755,4.64,1.432542381,2.998984134,0.208473486
201802,175783,2616755,2.01,1.315648684,0.376665544,0.317685772
201803,175783,2616755,-1.61,1.206318702,-2.55398176,-0.262336942
201804,175783,2616755,-3.99,1.115340265,-5.049512902,-0.055827363
201805,175783,2616755,-4.7,1.041187077,-5.58449374,-0.156693336
201806,175783,2616755,-2.32,0.979524584,-1.100668184,-2.198856399
201807,175783,2616755,1.05,0.949592251,0.142770732,-0.042362983
201808,175783,2616755,3.46,0.954218994,2.666085269,-0.160304263
201809,175783,2616755,4.47,0.984204875,3.458855282,0.026939842
201810,175783,2616755,1.41,1.109303012,0.505302004,-0.204605016
201811,175783,2616755,2.25,1.413223358,0.99355969,-0.156783048
201812,175783,2616755,2.165,1.69080826,2.443031633,-1.968839894
201901,175783,2616755,2.47,1.934318973,3.074074763,-2.538393736
201902,175783,2616755,-1.49,2.163722331,0.37601562,-4.029737952
201903,175783,2616755,0.73,2.426870509,-2.15848942,0.461618911
201904,175783,2616755,-2.16,2.695904706,-4.746250941,-0.109653765
201905,175783,2616755,-1.63,2.81601255,-5.810739077,1.364726527
201906,175783,2616755,2.01,2.816368756,-0.758596511,-0.047772245
201907,175783,2616755,4.52,2.707089361,0.263679407,1.549231232
201908,175783,2616755,5.86,2.575670121,2.469136047,0.815193832
201909,175783,2616755,7.85,2.4574796,3.394841291,1.997679109
201910,175783,2616755,3.11,2.282000881,0.343125121,0.484873998
201911,175783,2616755,2.36,2.044219959,0.79594959,-0.48016955
201912,175783,2616755,4.27,1.713317226,2.533958998,0.022723776
202001,175783,2616755,4.37,1.386968314,3.054474367,-0.071442681
202002,175783,2616755,1.32,1.111606706,0.308043231,-0.099649937
202003,175783,2616755,-1.17,0.868664518,-1.820782053,-0.217882465
202004,175783,2616755,-3.79,0.64654306,-4.487833284,0.051290224
202005,175783,2616755,-5.64,0.438251455,-6.085309718,0.007058263
202006,175783,2616755,-0.18,0.25080461,-0.44808811,0.0172835
202007,175783,2616755,0.47,0.104039063,0.357627816,0.008333121
202008,175783,2616755,1.93,-0.039749166,2.249079496,-0.27933033
202009,175783,2616755,3.13,-0.185000706,3.320833897,-0.005833191
202010,175783,2616755,-0.41,-0.329442735,0.098283432,-0.178840697
202011,175783,2616755,0.46,-0.471519438,0.625632077,0.30588736
202012,175783,2616755,2.02,-0.610066909,2.627482173,0.002584737
